Tweet,Time,Link,Media
Day 395.2: Arrived at Sharonov,2017-04-02 22:39:06.120000,http://wenamethestars.inkleby.com/feature/5469,http://wenamethestars.inkleby.com/static/moon/1727.png
Sharonov is named after Vsevolod Vasilievich Sharonov - Soviet astronomer (1901 -1964).,2017-04-02 22:40:06.120000,https://en.wikipedia.org/wiki/Sharonov_(lunar_crater),
Day 395.5: Arrived at Anderson,2017-04-03 05:19:48.450000,http://wenamethestars.inkleby.com/feature/260,http://wenamethestars.inkleby.com/static/moon/1728.png
Anderson is named after John August Anderson - American astronomer (1876 -1959).,2017-04-03 05:20:48.450000,https://en.wikipedia.org/wiki/John_August_Anderson,
Day 395.8: Arrived at Zernike,2017-04-03 11:34:19.110000,http://wenamethestars.inkleby.com/feature/6724,http://wenamethestars.inkleby.com/static/moon/1729.png
Zernike is named after Frits Zernike - Dutch physicist; Nobel laureate (1888 -1966).,2017-04-03 11:35:19.110000,https://en.wikipedia.org/wiki/Frits_Zernike,
Day 396.2: Arrived at Spencer Jones,2017-04-03 21:28:40.440000,http://wenamethestars.inkleby.com/feature/5666,http://wenamethestars.inkleby.com/static/moon/1730.png
Spencer Jones is named after Sir Harold Jones - British astronomer (1890 -1960).,2017-04-03 21:29:40.440000,https://en.wikipedia.org/wiki/Harold_Spencer_Jones,
Day 396.4: Arrived at Papaleksi,2017-04-04 03:28:17.850000,http://wenamethestars.inkleby.com/feature/4583,http://wenamethestars.inkleby.com/static/moon/1731.png
Day 396.8: Arrived at Mandel'shtam,2017-04-04 11:17:33.180000,http://wenamethestars.inkleby.com/feature/3625,http://wenamethestars.inkleby.com/static/moon/1732.png
Mandel'shtam is named after Leonid Isaakovich Mandel'shtam - Soviet physicist (1879 -1944).,2017-04-04 11:18:33.180000,https://en.wikipedia.org/wiki/Leonid_Mandelstam,
Day 397.2: Arrived at Vening Meinesz,2017-04-04 20:51:30.510000,http://wenamethestars.inkleby.com/feature/6348,http://wenamethestars.inkleby.com/static/moon/1733.png
"Vening Meinesz is named after Felix Andries Meinesz - Dutch geophysicist, geodesist (1887 -1966).",2017-04-04 20:52:30.510000,https://en.wikipedia.org/wiki/Felix_Andries_Vening_Meinesz,
Day 397.4: Arrived at Dewar,2017-04-05 03:36:45.900000,http://wenamethestars.inkleby.com/feature/1515,http://wenamethestars.inkleby.com/static/moon/1734.png
